index,UID,Date,GroupDayType,Sleep onset,Sleep offset,Sleep duration,Sleep onset MSLM,Sleep offset MSLM,Activity
128,winter0052,2018-01-24,winterWeekday,2018-01-25 00:02:45,2018-01-25 06:29:45,6.45,1442.75,389.75,10249.13233601841
134,winter0052,2018-01-25,winterWeekday,2018-01-26 00:36:00,2018-01-26 07:56:45,7.345833333333333,1476.0,476.75,14046.001321877064
130,winter0052,2018-01-26,winterWeekday,2018-01-27 02:51:30,2018-01-27 04:21:00,1.4916666666666667,1611.5,261.0,13219.169491525423
136,winter0052,2018-01-27,winterWeekend/Holiday,2018-01-28 00:01:00,2018-01-28 10:04:30,10.058333333333334,1441.0,604.5,15342.949701619778
135,winter0052,2018-01-28,winterWeekend/Holiday,2018-01-29 00:44:15,2018-01-29 06:14:45,5.508333333333334,1484.25,374.75,16601.242000474045
133,winter0052,2018-01-29,winterWeekday,2018-01-29 23:49:30,2018-01-30 06:14:15,6.4125,1429.5,374.25,21382.80028429282
138,winter0052,2018-01-30,winterWeekday,2018-01-30 23:49:30,2018-01-31 07:07:45,7.304166666666666,1429.5,427.75,12938.256611165525
131,winter0052,2018-01-31,winterWeekday,2018-02-01 00:08:45,2018-02-01 09:58:00,9.820833333333333,1448.75,598.0,15915.294117647058
132,winter0052,2018-02-01,winterWeekday,2018-02-02 01:03:15,2018-02-02 08:57:00,7.895833333333333,1503.25,537.0,19349.37674020133
139,winter0052,2018-02-02,winterWeekday,2018-02-03 04:24:15,2018-02-03 09:56:30,5.5375,1704.25,596.5,21997.195715676728
127,winter0052,2018-02-03,winterWeekend/Holiday,2018-02-03 22:46:45,2018-02-04 09:51:00,11.070833333333333,1366.75,591.0,8545.460636515912
129,winter0052,2018-02-04,winterWeekend/Holiday,2018-02-05 00:46:30,2018-02-05 05:20:00,4.558333333333334,1486.5,320.0,15955.938009787928
141,winter0052,2018-02-05,winterWeekday,2018-02-06 01:46:00,2018-02-06 09:55:00,8.15,1546.0,595.0,19753.846153846152
140,winter0052,2018-02-06,winterWeekday,2018-02-07 01:08:15,2018-02-07 06:59:30,5.854166666666667,1508.25,419.5,0.0
126,winter0052,2018-02-07,winterWeekday,2018-02-07 00:00:00,2018-02-07 00:00:00,0.0,0.0,0.0,0.0
144,winter0114,2018-02-08,winterWeekday,2018-02-09 03:08:15,2018-02-09 10:27:30,7.320833333333334,1628.25,627.5,12762.81690140845
150,winter0114,2018-02-09,winterWeekday,2018-02-10 02:26:00,2018-02-10 08:27:15,6.020833333333333,1586.0,507.25,11126.63850931677
149,winter0114,2018-02-10,winterWeekend/Holiday,2018-02-11 01:13:30,2018-02-11 14:11:30,12.966666666666667,1513.5,851.5,19086.371681415927
152,winter0114,2018-02-11,winterWeekend/Holiday,2018-02-12 01:29:30,2018-02-12 09:55:00,8.425,1529.5,595.0,15934.208
153,winter0114,2018-02-12,winterWeekday,2018-02-13 01:32:30,2018-02-13 09:47:15,8.245833333333334,1532.5,587.25,12695.447409733124
155,winter0114,2018-02-13,winterWeekday,2018-02-14 01:42:45,2018-02-14 09:58:45,8.266666666666667,1542.75,598.75,14187.839472237492
147,winter0114,2018-02-14,winterWeekday,2018-02-15 01:08:15,2018-02-15 07:49:30,6.6875,1508.25,469.5,0.0
154,winter0114,2018-02-15,winterWeekday,2018-02-15 00:00:00,2018-02-15 00:00:00,0.0,0.0,0.0,12397.064403394907
151,winter0114,2018-02-16,winterWeekday,2018-02-17 02:04:30,2018-02-17 11:53:30,9.816666666666666,1564.5,713.5,16409.91549295775
145,winter0114,2018-02-17,winterWeekend/Holiday,2018-02-18 02:41:00,2018-02-18 11:10:45,8.495833333333334,1601.0,670.75,14014.945788156796
143,winter0114,2018-02-18,winterWeekend/Holiday,2018-02-19 02:10:00,2018-02-19 10:42:00,8.533333333333333,1570.0,642.0,16229.885057471265
156,winter0114,2018-02-19,winterWeekend/Holiday,2018-02-20 01:55:30,2018-02-20 09:28:30,7.55,1555.5,568.5,15393.76853055917
148,winter0114,2018-02-20,winterWeekday,2018-02-21 01:29:45,2018-02-21 09:10:45,7.683333333333334,1529.75,550.75,14532.177524007267
142,winter0114,2018-02-21,winterWeekday,2018-02-22 01:14:00,2018-02-22 07:49:30,6.591666666666667,1514.0,469.5,0.0
146,winter0114,2018-02-22,winterWeekday,2018-02-22 00:00:00,2018-02-22 00:00:00,0.0,0.0,0.0,0.0
170,winter0036,2018-01-09,winterWeekday,2018-01-10 00:53:45,2018-01-10 07:31:30,6.629166666666666,1493.75,451.5,16472.60441107461
164,winter0036,2018-01-10,winterWeekday,2018-01-11 01:17:00,2018-01-11 07:18:45,6.029166666666667,1517.0,438.75,14872.545148085721
158,winter0036,2018-01-11,winterWeekday,2018-01-12 00:37:00,2018-01-12 07:29:45,6.879166666666666,1477.0,449.75,14656.794701986755
169,winter0036,2018-01-12,winterWeekday,2018-01-13 02:22:15,2018-01-13 11:12:00,8.829166666666667,1582.25,672.0,12074.8291571754
157,winter0036,2018-01-13,winterWeekend/Holiday,2018-01-14 01:50:00,2018-01-14 10:03:15,8.220833333333333,1550.0,603.25,12692.423580786026
159,winter0036,2018-01-14,winterWeekend/Holiday,2018-01-15 01:19:15,2018-01-15 10:20:30,9.020833333333334,1519.25,620.5,9956.211251435132
171,winter0036,2018-01-15,winterWeekend/Holiday,2018-01-16 00:51:30,2018-01-16 07:23:45,6.5375,1491.5,443.75,13304.594397076735
160,winter0036,2018-01-16,winterWeekday,2018-01-17 00:30:00,2018-01-17 07:46:00,7.266666666666667,1470.0,466.0,14343.684854416444
165,winter0036,2018-01-17,winterWeekday,2018-01-18 00:47:45,2018-01-18 07:27:00,6.654166666666667,1487.75,447.0,15806.762066456464
161,winter0036,2018-01-18,winterWeekday,2018-01-19 00:37:45,2018-01-19 07:47:30,7.1625,1477.75,467.5,18257.69177608846
162,winter0036,2018-01-19,winterWeekday,2018-01-20 01:52:45,2018-01-20 09:33:30,7.679166666666666,1552.75,573.5,12128.87885628292
166,winter0036,2018-01-20,winterWeekend/Holiday,2018-01-21 02:10:15,2018-01-21 09:47:30,7.620833333333334,1570.25,587.5,17557.983666572796
163,winter0036,2018-01-21,winterWeekend/Holiday,2018-01-22 00:35:15,2018-01-22 07:26:45,6.858333333333333,1475.25,446.75,16640.131764705882
168,winter0036,2018-01-22,winterWeekday,2018-01-23 01:09:15,2018-01-23 07:26:00,6.279166666666667,1509.25,446.0,0.0
167,winter0036,2018-01-23,winterWeekday,2018-01-23 00:00:00,2018-01-23 00:00:00,0.0,0.0,0.0,0.0
182,winter0062,2018-01-23,winterWeekday,2018-01-23 00:00:00,2018-01-23 00:00:00,0.0,0.0,0.0,2570.1377410468317
173,winter0062,2018-01-24,winterWeekday,2018-01-25 01:54:45,2018-01-25 05:53:00,3.970833333333333,1554.75,353.0,12498.780383795309
179,winter0062,2018-01-25,winterWeekday,2018-01-26 01:25:30,2018-01-26 05:47:15,4.3625,1525.5,347.25,10071.220657276996
175,winter0062,2018-01-26,winterWeekday,2018-01-27 03:05:15,2018-01-27 11:55:45,8.841666666666667,1625.25,715.75,23059.673469387755
181,winter0062,2018-01-27,winterWeekend/Holiday,2018-01-28 00:10:45,2018-01-28 13:06:45,12.933333333333334,1450.75,786.75,14943.448275862069
180,winter0062,2018-01-28,winterWeekend/Holiday,2018-01-29 02:09:45,2018-01-29 05:53:30,3.7291666666666665,1569.75,353.5,10835.105981112276
178,winter0062,2018-01-29,winterWeekday,2018-01-30 01:44:45,2018-01-30 05:53:15,4.141666666666667,1544.75,353.25,11296.460386283012
183,winter0062,2018-01-30,winterWeekday,2018-01-31 03:01:45,2018-01-31 05:44:45,2.716666666666667,1621.75,344.75,10136.057287278853
176,winter0062,2018-01-31,winterWeekday,2018-02-01 01:31:45,2018-02-01 05:49:30,4.295833333333333,1531.75,349.5,11299.904860392968
177,winter0062,2018-02-01,winterWeekday,2018-02-02 01:58:15,2018-02-02 05:44:15,3.7666666666666666,1558.25,344.25,12196.766516208452
